station_id,cluster,center_distance
112,1,0.041704633435251645
113,1,0.029982380409994264
114,1,0.02627878305961456
119,2,0.04634363880839236
124,2,0.03015016497229906
127,1,0.06772845041538551
128,1,0.07626995912390969
129,2,0.030846989330680193
130,2,0.04755623926029488
131,1,0.036281327212335734
132,1,0.031215150181998632
133,1,0.05334703910094408
134,1,0.047899117918419436
135,1,0.04586363508392552
136,1,0.08290331021249951
137,1,0.05375886103108573
138,1,0.04890444869359631
234,1,0.035545637065708804
237,2,0.07450273581197447
238,1,0.0441492748096597
239,2,0.06540103623012732
240,2,0.03485531041565782
247,2,0.10537008452448979
248,2,0.03658188956716676
250,2,0.04748533736601967
251,1,0.057833377964406615
253,2,0.07799611325556632
254,2,0.07245807584967683
255,1,0.09346853418508849
256,1,0.07788177834571275
257,1,0.04782418407294998
258,1,0.07464916534556147
259,1,0.05465075401743798
260,1,0.07316116302635098
261,1,0.08179209093201982
262,2,0.13596116290694613
263,2,0.09819502829518692
312,1,0.05401096940513959
314,2,0.032042343535900415
325,2,0.019473967063899776
327,1,0.07389141500722791
328,2,0.06605738528378174
329,1,0.016824194468549523
330,1,0.0291127793637106
331,1,0.022933531821521917
332,1,0.04848389569661591
333,1,0.07820231525575402
334,1,0.02839772249446505
335,1,0.04410468267086064
336,1,0.06399665440221422
337,1,0.044681800233913604
338,1,0.12531743494249262
339,1,0.081094828979804
413,1,0.06465646772865088
415,2,0.0621212898016418
416,2,0.047252626249143094
420,2,0.04611632918826758
421,2,0.03466743207421212
423,2,0.022006339975049412
426,2,0.04205215958561337
502,1,0.03377362318894286
503,2,0.07827194833363843
505,1,0.060941012966020815
507,1,0.038381498658090346
508,1,0.031231740700900006
509,1,0.035688229340686516
510,1,0.04354790035790841
511,1,0.07821628755536546
512,2,0.17795990515409188
513,1,0.07070521526542084
622,1,0.0506389069812754
623,1,0.032838748210893956
624,1,0.055425811707367545
625,1,0.0614483578269805
626,1,0.04183819036148298
628,2,0.07693106363231493
629,2,0.08254305361436991
633,2,0.03594824598401387
634,2,0.06363893495213072
635,1,0.06855875655792674
636,1,0.03277915126986989
637,1,0.023668279915250178
638,1,0.06313666858481186
639,1,0.04450557950889255
640,1,0.04759705555141353
642,1,0.08993528996680407
643,1,0.07482436551722758
644,1,0.02819116504015627
645,2,0.09419780987883859
646,1,0.05395431969247398
647,1,0.06189059010605585
648,1,0.06042607084747762
721,1,0.060666396238360405
722,1,0.07889131450964047
723,1,0.061897324625456815
724,1,0.07827365432738113
725,1,0.04687449566041656
726,1,0.08905363175510919
727,1,0.049102584482292905
728,1,0.052174300871526844
729,1,0.05037860586156412
730,1,0.02396540299822982
731,1,0.049007589277092985
732,1,0.022891360700841384
733,1,0.03460704050442446
734,1,0.04451106698379899
735,2,0.04586666855076675
738,2,0.025803516186722383
744,2,0.05745077244900298
745,1,0.04564211482596299
747,1,0.04119191661128337
749,1,0.04279712431642198
750,1,0.0494108511201492
751,1,0.03506131844753204
753,2,0.10791435583571168
820,1,0.05272555617720556
821,1,0.06587620034940517
822,1,0.031973660961999835
823,1,0.06973467592183687
824,1,0.06788296517985894
825,1,0.03415985673094685
827,1,0.05337657774331113
828,1,0.034273877321590616
830,2,0.10019367441451649
834,2,0.0678656799353192
837,1,0.05953773074040311
838,1,0.06337999055218514
840,1,0.04011073867156861
842,1,0.05111413528903895
843,2,0.07121291755044724
844,1,0.02865275134502129
845,1,0.027025498732475464
846,1,0.04231863371398841
847,1,0.05225783716803233
848,1,0.03454376277657846
849,1,0.04388771504585961
918,2,0.08416641585601224
919,1,0.06302943016559151
920,1,0.0493414497374587
921,1,0.045539832722369944
922,1,0.044397925436217664
923,1,0.03869904153231301
924,1,0.06450026825282276
925,1,0.08696438142445712
926,1,0.03993657346493805
927,1,0.07707025247458046
928,1,0.07955036459549093
929,1,0.03967772929353271
930,2,0.06686619555434424
931,2,0.1425240279449136
932,2,0.05279972135649548
937,2,0.0730926725043629
940,2,0.04037291640934839
941,2,0.06737355549177261
943,2,0.0456691118347821
1018,1,0.05334410306820266
1019,2,0.05336736850595114
1020,1,0.06982977701343282
1043,2,0.07483046181490817
1044,1,0.09372353218120032
1045,2,0.05478010115815034
1046,2,0.04992844466090339
1047,2,0.09457180038981738
1048,2,0.04034868702329913
1051,2,0.06618985988299274
1055,2,0.06916680736807705
1058,2,0.06043917690150496
1060,1,0.05455170422605166
1062,2,0.057966295887809396
1063,1,0.06376132323041755
1064,2,0.07238203922447389
1065,2,0.06692048090829456
1066,2,0.056251153017824594
1067,1,0.050581244374527046
1068,1,0.033633995762247224
1114,1,0.07885218927254173
1115,1,0.06600255219693561
1116,1,0.06769345161314287
1117,1,0.06427795706689758
1118,1,0.09393914277073917
1119,1,0.060107585247054965
1120,1,0.10041822041817491
1131,1,0.053118662926324445
1132,1,0.052121977686612565
1133,1,0.04235379536961474
1134,1,0.03180413260289174
1135,1,0.05970718100378811
1137,1,0.02661595873910411
1138,1,0.05040062742940869
1139,2,0.07428481666413354
1140,2,0.07110427831096795
1141,1,0.027763589396084535
1142,1,0.02593863614324298
1143,1,0.046912647735306796
1144,1,0.06444669034062833
1150,2,0.02693439381683119
1152,2,0.05421111292663669
1153,1,0.058092650252961196
1155,1,0.057578168299733425
1156,1,0.04879516921570959
1157,1,0.03533049502892508
1159,1,0.031118056229699705
1161,1,0.07372051872487667
1162,1,0.09749632200697707
1163,2,0.16487455052506922
1220,1,0.0609778099488839
1221,1,0.0405020507769813
1222,1,0.039457249502001565
1223,1,0.0500422971676866
1224,2,0.08046125716519557
1225,2,0.07636404892805448
1226,2,0.056864551571230396
1238,2,0.08146711254269888
1239,2,0.05925697506606125
