日期,工作日标记,人次,筛选范围,站点范围,日期类型,有效日期数
2017-07-02,0,4409680,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-03,1,7060883,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-04,1,7012530,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-05,1,7046376,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-06,1,7039581,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-07,1,7314461,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-08,0,4786461,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-09,0,4212572,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-10,1,7069494,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-11,1,7008724,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-12,1,6952626,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-13,1,6846503,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-14,1,7065231,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-15,0,4593970,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-16,0,4018404,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-17,1,6896749,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-18,1,6837790,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-19,1,6882947,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-20,1,6778158,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-21,1,6923068,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-22,0,4147525,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-23,0,3638016,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-24,1,6616078,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-25,1,6552527,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-26,1,6631744,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-27,1,6691225,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-28,1,7071846,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-29,0,4551848,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-30,0,3969443,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-07-31,1,6824549,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-01,1,6803581,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-02,1,6838649,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-03,1,6783478,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-04,1,6916200,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-05,0,4292173,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-06,0,4059727,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-07,1,6773114,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-08,1,6748395,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-09,1,6714122,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-10,1,6889847,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-11,1,7101922,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
2017-08-12,0,4695972,2017-05-01 — 2017-08-31 · 全部 · 全网 · 进站人次,全部站点,全部,117
